"animal","type.respondent","category","median.score"
"African brush-tailed porcupine","Household","Wild meat",10
"African brush-tailed porcupine","Hunter","Wild meat",10
"African brush-tailed porcupine","Market","Wild meat",10
"African buffalo","Household","Wild meat",7
"African buffalo","Hunter","Wild meat",6
"African buffalo","Market","Wild meat",5
"African civet","Household","Wild meat",5
"African civet","Hunter","Wild meat",8
"African civet","Market","Wild meat",5
"African dwarf crocodile","Household","Wild meat",6
"African dwarf crocodile","Hunter","Wild meat",8
"African dwarf crocodile","Market","Wild meat",6.5
"African elephant","Household","Wild meat",7
"African elephant","Hunter","Wild meat",8
"African elephant","Market","Wild meat",8
"African golden cat","Household","Wild meat",5
"African golden cat","Hunter","Wild meat",7
"African golden cat","Market","Wild meat",6
"African palm civet","Household","Wild meat",7
"African palm civet","Hunter","Wild meat",9
"African palm civet","Market","Wild meat",8
"African palm weevil","Household","Invertebrate",5
"African palm weevil","Hunter","Invertebrate",8
"African palm weevil","Market","Invertebrate",2
"Anchovy","Household","Fish",6
"Anchovy","Hunter","Fish",6
"Anchovy","Market","Fish",3
"Aquatic snail","Household","Invertebrate",7
"Aquatic snail","Hunter","Invertebrate",6
"Aquatic snail","Market","Invertebrate",7
"Ball python","Household","Wild meat",7
"Ball python","Hunter","Wild meat",9
"Ball python","Market","Wild meat",6
"Bates' pygmy antelope","Household","Wild meat",7
"Bates' pygmy antelope","Hunter","Wild meat",8
"Bates' pygmy antelope","Market","Wild meat",7
"Bats","Household","Wild meat",5
"Bats","Hunter","Wild meat",5
"Bats","Market","Wild meat",2.5
"Bay duiker","Household","Wild meat",6
"Bay duiker","Hunter","Wild meat",7
"Bay duiker","Market","Wild meat",7
"Beef","Household","Domestic meat",8
"Beef","Hunter","Domestic meat",7
"Beef","Market","Domestic meat",7
"Black guineafowl","Household","Wild meat",5
"Black guineafowl","Hunter","Wild meat",7
"Black guineafowl","Market","Wild meat",6
"Black-bellied pangolin","Household","Wild meat",10
"Black-bellied pangolin","Hunter","Wild meat",10
"Black-bellied pangolin","Market","Wild meat",10
"Blue duiker","Household","Wild meat",6
"Blue duiker","Hunter","Wild meat",7
"Blue duiker","Market","Wild meat",6.5
"Bushbuck","Household","Wild meat",5.5
"Bushbuck","Hunter","Wild meat",7
"Bushbuck","Market","Wild meat",6
"Bushfowls","Household","Wild meat",6
"Bushfowls","Hunter","Wild meat",8
"Bushfowls","Market","Wild meat",5
"Calabar angwantibo","Household","Wild meat",5
"Calabar angwantibo","Hunter","Wild meat",4
"Calabar angwantibo","Market","Wild meat",5
"Cameroon red-eared monkey","Household","Wild meat",7
"Cameroon red-eared monkey","Hunter","Wild meat",9
"Cameroon red-eared monkey","Market","Wild meat",8
"Carp","Household","Fish",9
"Carp","Hunter","Fish",9
"Carp","Market","Fish",7
"Catfish","Household","Fish",9
"Catfish","Hunter","Fish",10
"Catfish","Market","Fish",8
"Central African rock python","Household","Wild meat",6
"Central African rock python","Hunter","Wild meat",9
"Central African rock python","Market","Wild meat",6
"Chameleons","Household","Wild meat",5.5
"Chameleons","Hunter","Wild meat",10
"Chameleons","Market","Wild meat",2
"Chicken","Household","Domestic meat",9
"Chicken","Hunter","Domestic meat",9
"Chicken","Market","Domestic meat",10
"Chimpanzee","Household","Wild meat",4
"Chimpanzee","Hunter","Wild meat",9
"Chimpanzee","Market","Wild meat",7
"Cobra","Household","Wild meat",6
"Cobra","Hunter","Wild meat",7
"Cobra","Market","Wild meat",5
"Common periwinkle","Household","Invertebrate",7
"Common periwinkle","Hunter","Invertebrate",7
"Common periwinkle","Market","Invertebrate",7
"Crested genet","Household","Wild meat",6
