Name of the interviewer,Select village,What category of respondent are you interviewing?,"1. Introduce yourself (say your name and where you have come from)
2. Introduce the project, stating that it is a stuent project and that you are mainly interested in their preferences for different meat, including beef and chicken.
3. Hand out the consent form. Continue if they agree to partake and thus sign the form.",What is the respondent's sex?,What is the respondent's ethnicity?,What is the year of birth of the respondent?,African brush-tailed porcupine,African buffalo,African civet (bush dog),African clawless otter,African dwarf crocodile,African elephant,African golden cat,African palm civet (civet),African palm weevil,African slender-snouted crocodile,Aquatic snails (nkonkor),Ball python,Bat,Bates' pygmy antelope,Bay duiker,Beef (cow),Black guineafowl,Black-bellied pangolin,Blue duiker (frutambo),Bushfowl,Calabar angwantibo,Cameroon red-eared monkey,Carp,Catfish,Central African rock python,Chameleon,Chicken,Chicken egg,Chimpanzee,Cobra,Common periwinkle,Cricket,Cross River gorilla,Crowned monkey,Cusimanse,Dog,Dried anchovies,Drill,Duck,Eagle,Freshwater crab,Freshwater shrimp and prawn,Frog and toads,Gaboon viper,Galago (or bushbaby),Genet (crested and Cape),Giant ground pangolin,Giant land snail,Giant pouched rat,Goat,Grasshopper,Greater cane rat (cutting grass),Guinea-pig,Harnessed bushbuck,Hawk and Kite,Helmeted guineafowl,Hornbill,Hyrax,Leopard,Lobster,Mamba,Mona monkey,Mongoose,Nile crocodile,Nile Monitor,Ogilby's duiker,Owl,Parrot,Patas monkey,Pigeon,Pork,Potto,Preuss's monkey,Preuss's red colobus (Colobus monkey),Putty-nosed monkey,Rabbit,Ratel (honey badger),Red river hog,Red-capped mangabey,Sardine and pilchard,Sclater's monkey,Sheep,Shrew (okornor),Sitatunga,Small bird,Spotted-necked otter,Squirrel,Stock fish,Termite,Tilapia,Tortoise,Turaco,Turkey,Turtle,Vulture,Water chevrotain,West African mackerel (ice fish),White-bellied pangolin,Yellow-backed duiker,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
Dominic,Mkpot 1,Market,Yes,Female,Efik,0,8,999,5,999,6,999,999,999,1,999,999,999,999,5,999,6,999,999,999,999,999,999,6,6,8,999,10,10,999,999,2,999,999,6,999,10,1,999,999,999,9,9,999,8,999,999,999,9,8,7,999,6,999,999,999,999,999,999,999,5,999,999,999,4,999,5,999,999,3,999,999,999,999,999,999,999,999,6,999,999,999,999,999,999,999,999,999,1,1,999,999,999,999,999,999,999,6,999,999,177435471,0e4208ed-14d8-40a0-88f4-7b953675e18b,21/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,61
Dominic,Mkpot 1,Market,Yes,Female,Efik,0,10,999,999,999,999,999,999,999,1,999,999,999,999,999,6,8,999,999,999,999,999,999,8,8,999,999,10,8,999,999,2,999,999,999,5,10,1,999,999,999,7,10,999,999,999,999,999,9,8,7,999,9,999,999,999,999,999,999,999,9,999,999,999,999,999,999,999,999,999,999,8,999,999,999,999,999,999,8,999,8,999,999,999,999,999,999,999,2,1,999,999,999,999,999,999,999,9,8,999,177435480,c7745623-a8ff-434d-a3c1-f99acec6597b,21/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,65
Ben,Obung,Hunter,Yes,Male,Ejagham,0,10,999,10,999,10,10,999,10,999,10,9,999,999,3,3,3,10,10,3,10,10,10,10,3,999,999,3,999,10,999,10,999,10,10,10,10,10,10,999,999,3,10,999,999,10,3,10,3,10,3,999,10,999,10,999,10,9,9,999,9,999,10,10,999,10,3,999,999,999,999,3,10,10,10,10,999,999,10,10,3,3,999,999,999,999,10,999,9,9,10,3,9,999,999,999,999,3,10,999,182829865,791bb5dd-b971-4e0c-8fc3-b378f56e4f9f,09/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,121
Dominic,Ochon,Market,Yes,Female,Yakurr,0,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,9,999,9,999,999,999,999,999,9,999,999,8,9,999,999,10,999,999,999,10,999,999,9,999,999,999,999,999,999,999,999,999,999,999,9,999,999,999,9,999,999,999,999,999,999,999,999,999,999,999,10,999,999,999,999,999,999,10,999,999,999,999,10,999,999,999,999,999,999,999,999,999,9,999,999,9,999,999,9,999,999,999,10,999,183720271,8f90bfe3-f501-4e0a-a612-c6e1040a4612,12/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,239
Ebri,Okarara,Household,Yes,Female,Ejagham,1879,9,999,999,999,999,999,6,999,999,999,10,999,5,1,5,10,999,2,10,999,999,1,9,9,999,999,9,5,999,999,10,999,999,1,5,4,9,999,999,999,1,10,999,999,999,6,999,10,8,2,999,3,999,10,999,999,999,999,999,5,999,999,999,999,999,2,999,999,999,999,6,999,999,999,999,999,999,8,999,999,999,4,9,999,1,999,1,10,10,5,8,1,5,999,1,999,8,3,1,176888200,7e1c0727-a8db-4c65-a1c9-63ec542dc95b,18/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,21
Dominic,Okwa II,Market,Yes,Female,Boki,1942,6,999,999,999,999,999,999,4,999,999,999,9,999,999,999,6,999,999,10,999,999,999,999,999,8,999,999,9,999,9,7,999,999,999,999,5,999,999,999,999,9,9,999,4,10,999,999,9,4,999,999,999,999,999,999,999,999,999,999,999,9,999,999,999,999,9,999,999,999,999,7,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,4,10,999,999,8,999,999,999,10,999,999,187221840,52cb48a3-0c3f-4364-b1aa-f61a83d2fca5,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,379
Ebri,Okwa II,Household,Yes,Female,Boki,1942,5,999,999,999,999,999,2,999,999,999,999,999,999,999,9,4,999,7,999,4,999,999,8,10,999,999,10,10,999,999,999,999,999,999,3,999,1,999,8,999,6,6,999,999,999,999,999,8,9,10,999,5,999,999,999,4,1,999,999,6,999,999,3,999,7,999,999,999,999,999,10,2,999,999,999,999,999,3,999,999,999,999,999,999,999,999,9,10,999,999,9,999,999,999,999,999,2,7,999,187290639,66f17328-997a-4dc4-ada7-607d1c14738c,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,553
Ebri,Okwa II,Household,Yes,Female,Boki,1944,9,9,999,999,6,7,10,4,999,8,5,7,999,6,2,5,999,10,10,7,999,999,9,9,999,999,5,5,4,999,5,999,8,999,6,999,9,999,999,999,5,8,999,7,8,3,8,6,4,10,999,9,999,6,999,7,7,999,999,5,1,999,999,6,10,8,999,999,999,999,3,999,999,999,4,5,999,10,999,6,7,6,8,999,5,6,1,8,5,3,5,7,6,6,999,2,1,10,7,187242034,b78984ae-5df2-4cfd-8ede-f74ac0e3ba2d,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,468
Ben,Ifumkpa,Hunter,Yes,Male,Ejagham,1950,10,6,999,999,999,999,2,10,10,10,8,9,999,6,6,5,10,10,10,3,999,5,10,10,10,999,10,10,1,10,999,999,999,7,10,5,999,7,999,999,2,3,999,10,999,10,4,8,8,4,999,10,999,4,999,3,5,999,8,10,999,999,999,999,999,10,999,999,999,999,8,1,9,9,999,10,999,10,7,1,999,999,999,999,999,999,5,4,999,1,10,2,999,999,999,5,2,10,6,182830054,e393ce72-7d63-46f1-b81d-6360aa568747,09/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,135
Ebri,Mkpot 1,Household,Yes,Male,Ejagham,1952,999,10,999,999,4,3,999,999,999,999,999,7,999,999,8,5,6,8,7,999,999,999,5,999,999,999,999,6,999,10,9,5,999,999,999,8,999,999,1,999,1,5,999,999,999,8,10,8,10,9,5,999,999,999,999,999,5,999,999,999,6,9,999,999,8,999,999,999,999,999,999,7,999,999,7,999,999,8,999,999,999,999,999,999,999,999,999,5,4,999,10,999,999,999,999,999,8,8,999,177721001,85e7cd9d-e400-4752-a566-c826af9a382e,22/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,73
