"name.interviewer","village","type.respondent","sex","ethnicity","dob","animal","score","X_id","comm.type","category","number"
"Dominic","Okarara","Market","Female","Ejagham",1999,"African brush-tailed porcupine",10,176873464,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1999,"African buffalo",10,176873464,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1999,"African dwarf crocodile",2,176873464,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1999,"African golden cat",4,176873464,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1999,"Aquatic snail",1,176873464,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1999,"Bats",10,176873464,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1999,"Bay duiker",5,176873464,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1999,"Beef",10,176873464,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1999,"Black-bellied pangolin",10,176873464,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1999,"Carp",3,176873464,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1999,"Catfish",10,176873464,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1999,"Chicken",10,176873464,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1999,"Chicken egg",6,176873464,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1999,"Chimpanzee",6,176873464,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1999,"Common periwinkle",1,176873464,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1999,"Cricket",4,176873464,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1999,"Crested mona monkey",10,176873464,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1999,"Dog",10,176873464,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1999,"Anchovy",10,176873464,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1999,"Duck",3,176873464,"Border","Domestic meat",1
